,text,polarity,sentiment
84,rt sidhant presser brics people choosing life ways delhi russian deputy envoy present,0.0,Neutral
85,rt babaksardar bacha khan babalife nd struggle,0.0,Neutral
86,rt evra sheikh evra dont take life seriously like youre going get alive ilovethisgame positive4evra monday,-0.11666666666666665,Negative
87,rt hopington1 new day new week thank god life canlife short,0.0909090909090909,Positive
88,trust matthew life course combination macaroni cheese unnatural,0.0,Neutral
90,emotion life love still want goolak,0.5,Positive
91,rt tolusaba find waiting 12 hours wizkid concert maybe need look back life choices led,0.0,Neutral
92,rt nakamuraya_kasi 日本酒と羊羹を楽しもう 新宿中村屋クランドコラボキャンペーン 純米吟醸酒taoと小形羊羹が抽選で３名様に当たる 締切12月18日日 応募方法 ①nakamuraya_kasi と kurand_info をフ,0.0,Neutral
93,rt sisi_tigress kings leon represents particular time life like song takes day timescent scene vividly r,0.14583333333333331,Positive
94,rt gawnai help rt please makasih orang baik aku bawa layout ready stock newjeans 3k aespa amp rv 3k sm handrawn 6k aku jg mau,0.2,Positive
95,rt thefree1_ know die someday honestly difficult accept losing someone prime life,-0.5,Negative
96,先生2人来るの,0.0,Neutral
97,rt lostrealmsxyz storytelling bring worlds life capture imagination join us mon nov 14 7 pm est art,0.0,Neutral
98,rt joshua_ubeku piers morgan whos 57 years trolls messi every day life ronaldo fans ronaldo fans,0.0,Neutral
99,rt inytopia genuinely owe girl life,0.4,Positive
100,shivin rachith play true urselfnamakku unmai ya irukaradhu mattum dhaan nammala kadaisi vara kaapat,0.35,Positive
101,rt kanjukuoh おはバナナじゃ 甘熟王がおススメする茨城県産紅はるかを使用した平干し芋を毎日2名様にプレゼント 丹精込めて作られた紅はるかの干し芋はこっくり甘さがあるのじゃよ ① kanjukuoh をフォロー ②こちらの投稿をrt 12月21日,0.0,Neutral
102,rt ybsnroh dont care call cheap broke commit life money accras pretentiousness mediocre resta,-0.04999999999999999,Negative
103,andchie zelenskyyua potus wonderful live freedom put opinion intern,0.5681818181818181,Positive
104,rt hladultcare called gloriously ordinary life spotlight adult social care report calls positive resilient,0.02765151515151515,Positive
105,rt koreansales_twt 2022 songs hours perfect allkill gidle tomboy 167 younha event horizon 130 still counting gidl,1.0,Positive
106,rt taishi_arashida 寒い日にふと思い出す夏の光景,0.0,Neutral
107,life imminent danger iranians ask un take action execution protesters ira,0.1,Positive
108,rt ayydaminn ill forever big couldve left alone ive always happy peace dont b,0.07500000000000001,Positive
109,sachin_rt rajinikanth thank much master blaster thalaivar life hbdsuperstarrajinikanth,0.2,Positive
110,rt vnarayanasami hearty congratulations super star shri rajinikanth birthday acting films unparallel pray god,0.16666666666666666,Positive
111,rt hopeworld_bot know take 1 searching dreams take 2 realization take 3 inside filmlike life ngs,0.0,Neutral
113,rt trollfootball college life,0.0,Neutral
114,rt heyitshassan delete old messages amp photos people longer life take social media amp create distance,0.06666666666666667,Positive
115,one word frees us weight pain lifethat word love 深圳线下 深圳,0.5,Positive
116,rt richardjmurphy entering new political era problem politicians seem aware,0.12878787878787878,Positive
117,ade_babyy virginity life without sex simple loved,0.35,Positive
118,rt misterkookcutie islamic republic hanged second innocent iranian protester majidrezarahnavard whose crime participa,0.25,Positive
119,rt karilakewarroom karilake elonmusk reporter tried cancel karilake posting lifesaving information,0.0,Neutral
120,love life captured narianhearts janeshua darnatopsecret xq,0.5,Positive
121,h twatter shud cope less get blood pumping embrace sun amp steel experience life highest intensity,-0.16666666666666666,Negative
122,nabati ko lg na baka red team uli aq ayun red team nanamn aq nakakasawa hays buong jhs life q red team aq,0.0,Neutral
123,s1_shogi_life 駿河氏それサウナ側に言いました,0.0,Neutral
124,rt rainmaker1973 think dragons imaginary creatures look draco lizard certainly smaller proba,0.0,Neutral
125,squigglyco slickfrmdasix ahmijai online internet pda important already real life,0.30000000000000004,Positive
126,rt vijayabaskarofl wishing superstar rajinikanth happy birthday may almighty bless long healthy life தரயலகன,0.4166666666666667,Positive
127,rt navion1990 main ek bande ko thank bolna chahti hu thank meri life aane ke lie aur merpe itna invest kiya ki aaj main ya,0.16666666666666666,Positive
128,playing dani life end summer,0.0,Neutral
129,rt moroi_ao 青昏時,0.0,Neutral
130,rt gvlnrao birthday greetings legendary actor amp screen idol thalaiva thiru rajinikanth actor amazed,1.0,Positive
131,rt sonmonibhattac1 save life respectable chief justice patna high court highcourt_save_magadhuniversity,0.33,Positive
132,rt simonkaggwanjal dr kwetega francis_isano icon struggle kizzabesigye1 young man feels hes made life,0.1,Positive
133,rt seniorbro11 point knew life war,0.0,Neutral
134,rt busingyejose friends link suddenly life worth living,0.15,Positive
135,rt kateraworth get child bursary top private school create national education system gives every si,0.25,Positive
136,l2hunter7 wishing happy successful long life brother may ur dreams become true,0.4625,Positive
137,life third shifter,0.0,Neutral
138,rt ade_babyy someone gave box contained everything youve lost life whats first thing would search,0.25,Positive
139,natashahutch21 kikiyo saw half demon wouldnt know would try kill seal,-0.16666666666666666,Negative
140,rt __luckyleftie men grooming wives modest predictable home base secured life well managed,-0.3,Negative
142,dammiedammie35 hmmmmmmmmmmthis life,0.0,Neutral
144,living south africa makes sometimes easy overlook wonderful precious country,0.6444444444444445,Positive
145,delbar_jan_afza islamic republic hanged second innocent iranian protester majidrezarahnavard whose,0.25,Positive
146,仙台goodbye shimmermv stargoodbyeshimmer,0.0,Neutral
147,rt navion1990 strongest people people faced toughest situations life people defeated toughest battles,0.0,Neutral
149,hodl 4 life lt3 andreykrpv sietesaa ackspro pradeepsinha022 akash79535918 lei_gaw prestonbox scywxy001,0.0,Neutral
150,rt mkb1994official wising happiest birthday rajini sir may god bless long happy healthy life true inspir,0.4,Positive
151,lavishdjreal stinubu ajoseganiat sulayamusa nyma_ifo nazychi217 aina_oyebanji mr_jags desywhyte mrlurvy,0.0,Neutral
152,onigirnari hate life sometimes man orz,-0.8,Negative
153,rt lauvsongs life changing,0.0,Neutral
154,rt lancetgh registration open join us lancetsummitobesity childhood obesity consequences across life course mar 23 2023,0.0,Neutral
155,rt greff_jerome providing stray animals fresh clean food water help survive cold animals live ci,0.05075757575757578,Positive
156,dont think could love lukelongley except could actually life amazing f,0.3666666666666667,Positive
157,rt bz_official newsdvd amp bluraybz presents live friendsの発売を記念してオリジナルショッパー プレゼントキャンペーンを実施いたします お近くのキャンペーン実施店舗に是非お立ち寄りください 詳,0.13636363636363635,Positive
158,rt thvdiaries taking 22hour long flight attend friends movie premiere coming back home early filming bc team member,0.016666666666666666,Positive
159,octopimp roughly like 1012 minutes usually takes wash hair properly also showers like r,-0.11666666666666665,Negative
160,rt kirandrk one best memorable day life dream childhood happen உஙகள மகததல நன கணட ஆனநதம பதம எ,0.75,Positive
161,rt chrisblock2 proverbs 11 niv v4 wealth worthless day wrath righteousness delivers deathgod love peaceof,-0.15000000000000002,Negative
162,170652在线while life hope,0.0,Neutral
163,rt drcarlhart words life liberty pursuit happiness dont include right experiment consciousnes,0.4928571428571428,Positive
164,mashari_al3yada الإحباط,0.0,Neutral
165,rt arkspolice breaking instructing motorists avoid taking roads near village halford unless life,0.1,Positive
168,rt tawdevinod heartfelt wishes legendary actor padma vibhushan shri rajinikanth ji birthday unprecedented contribu,0.5333333333333333,Positive
169,多々良no music lifeって書いてあるシャツ着た人がイヤホン外したからあの人そろそろ死ぬわね,0.0,Neutral
170,棋牌 knew life well enough know generous impulses 炸金花,0.0,Neutral
171,rt kayseconnect case missed congratulations order voltz_jt winning best album zim hiphop awards,0.75,Positive
172,rt christothurston de ruyter gordhan ramaphosa 400 members parliament eskom executives nice weekend backup elect,0.7,Positive
173,aniara__ drninaansary thats least worries living life max abandon something,-0.3,Negative
175,rt diya_tweetz live life like last one day youll right sidharthshukla lived ur life king size gone,0.14069264069264067,Positive
176,rt heedzhee ali khamenei responsible every single life taken spread word break ties iran,0.0642857142857143,Positive
177,rt sidnaazislove_1 navion1990 1 life mauka sabko milta hai 2 dont version yoube version 3 whe,0.0,Neutral
178,rt sfirebolt life imitates art,0.0,Neutral
179,rt hustlechillson ok im seeing clip first time life somehow,0.375,Positive
180,カサカサ通り越して家庭があるヒリヒリ民は サンタさんのお手伝いや年末年始の事でこの時期てんやわんや スカロケ,0.0,Neutral
181,rt kayanarich 12122022 life changing,0.0,Neutral
182,rt mandarixy worth quote f scott fitzgerald quotes life inspirational print gift inspirational wall art literary gift cla,0.35000000000000003,Positive
183,world wake khamneis execution machine took life another young iranian sham barbaric sland,-0.05,Negative
184,tomfitton hitehouse cares holidays everyone says time year get life man,0.0,Neutral
187,accept life deserve issooo manda ver elizabeth aaaaa é igual minha vida mais ou menos,0.0,Neutral
188,rt acambridgediary 13 fen skater christened ice today conditions proved perfect first time years skating f,0.625,Positive
189,life short us wake morning regrets 世界杯 brclrngo,-0.05,Negative
191,rt itswords_ lowkey hurt oh well thats life,0.0,Neutral
192,rt leapyeg tears eyes lucy kindest courageous ever known hung onto life many ye,0.5,Positive
193,rt michael_olads smile happy grateful good things life good morning great week,0.6599999999999999,Positive
194,kwaw_stiga masa see plenty said boobs life saver forget,0.0,Neutral
195,rt dividendincome_ never take life granted enjoy,0.4,Positive
196,rt thesundaylife evil robert black carried least three child murders top four convicted serial killer,-0.2416666666666667,Negative
197,rt maaneeyaa lot literally life house season,0.0,Neutral
198,rt ajiboyesandra sheggzolu lord spoken concerning life greater bigger enemies get,0.25,Positive
199,rt sureshpprabhu birthday greetings dadasaheb phalke awardee indian actor padma vibhushan shri rajinikanth ji may blessed,0.0,Neutral
200,rt jinnieslamp chef lee yeonbok instagram post bts jin finally enlisting wish good military life duration se,0.19999999999999998,Positive
201,rt chris28688209 spend life looks shoulder looking ahead choose looking ahead good morning everyone,0.7,Positive
202,life boldest waste land son evening,-0.2,Negative
203,rt princessukoko people dont like modest women keep saying live life men misera,0.11818181818181818,Positive
204,rt hagossuzan humanity go humanrightsday doesnt life tigrayans matter dear ho fp unaids msf decl,0.0,Neutral
205,rt bts_bighit rm still life anderson paak mv photo sketch rm indigo,0.0,Neutral
206,frequently asked question graduates ive 1000 business venture taught th,0.1,Positive
207,rt xiao_vip8 happy new lifehidup apa adanya tnpa berpurapura tnpa dikelilingi org2 toxic thank god utk slu mnjaga n mberiku org2,0.4681818181818182,Positive
209,planetix0 coinbasewallet revolutions breakthroughs thank developers w,0.0,Neutral
210,myspnigeria tweet joke cos doesnt happen real life,0.2,Positive
211,rt kk131066 thing american life theres human life unless americans humans bide,0.0,Neutral
212,eisashirazi executed yesterday zahedan city sistan amp baluchestan province iran execute,0.0,Neutral
213,rt defenceu mariupolis2 mantas kvedaravičius life besieged mariupol received award best documentary film e,0.5,Positive
214,rt askhimanshurai greetings superstar rajnikanth birthday contribution indian cinema brilliant wishing long,0.425,Positive
215,rt kayanarich air signs aquarius gemini libra 1211 1217 week going series unknown wins expect things,0.09999999999999999,Positive
218,rt vajinkya16 life aapian without election boring bhagwan jaldi election announce karva governance pe bhi dhyan dene ki,-1.0,Negative
219,themojola happy birthday bro wish llnp life,0.8,Positive
220,real life fantasy caught landslide escape reality open eyes look skies see,0.1,Positive
221,rt drsurabhic gifted lifes biggest joys neverending bliss gift earth deserve,0.5,Positive
222,jc looked coworker like youre gon na work secretary rest life mean,-0.3125,Negative
223,borderman67 3 people would nice looked like crazy amp told really,0.06666666666666667,Positive
224,rt uttnsy dreams,0.0,Neutral
225,whats best way get stuff stairs lovely back face face mental capacity act awa,0.35,Positive
226,rt rxnysb pov made right choices life,0.2857142857142857,Positive
227,rt tropicalmaku one cutest fun facts zack aerith japanese voice actors actually married real life,0.1875,Positive
228,rt iam_joshoodz lost much 2022 grateful life wasnt list,0.2,Positive
229,rt haimadiva rosé giving life d4 letting us breathe blackpinkinparis blackpink_worldtour,0.0,Neutral
230,rt satari_abdul stophazaragenocide future life hazara young refugees children wasted indonesia onl,-0.03333333333333333,Negative
231,rt youandgsendai 国際賞受賞youampg 高級パウンドケーキ 北日本の食材にこだわる しっとりパウンドケーキ 毎日3名様に1本プレゼント 今だけの応募方法 ①youandgsendai をフォローampいいね ②rtのみ さらにコメントの方か,0.0,Neutral
233,rt artrac_ia inspiring youth gentlemancadet faisal khan following family tradition soldiering chose join tes course otag,0.25,Positive
234,rt sup3rnovas second life,0.0,Neutral
235,rt nywolforg mean live life fullest,-0.08806818181818182,Negative
236,life hard move sweet heart 深圳线下 深圳,0.029166666666666646,Positive
237,rt harees_ms look life youll always look dont life youll never,0.0,Neutral
238,wasted time even recklessly death fell love began long life 深圳线下,0.08333333333333333,Positive
239,peace love organic vegan vegetarian life health delhi plantbased india mind body japan quotes indian,0.5,Positive
240,rt im__singh godmorningmonday one get opportunity human life saintrampaljim,0.0,Neutral
241,riveting life currently live,0.3181818181818182,Positive
242,rt lovelayaa_ aint shit life free,0.1,Positive
243,say_hi_to_lucy diogodacruz12 salltweets dont really care many call opinion,0.35,Positive
244,rt thatsdax repeat walk greatest year life,1.0,Positive
245,many arent aware dangers frozen water may look solid surface hold weight,0.25,Positive
246,adagolightl90 joshsandiford_ birmingham_live my_solihull get life,0.0,Neutral
247,rt qrsitek tanyakanrl prioritize real life first kpop dijadiin selingan aja,0.225,Positive
248,rt bigyke please find girl willing spend life hard im loyal,0.09722222222222221,Positive
249,life,0.0,Neutral
250,good fallout got anywhere life,0.7,Positive
251,ricotheburd sof_hankey ithenameiess bungiehelp want forge 3 times weapon level 16,0.0,Neutral
252,rt captainrk8055 enough money last rest life unless buy something hbdsidharthshukla,0.0,Neutral
254,rt premium_life_7 タサン志麻さん レシピ第6弾 志麻さんが考案した新レシピを記念して セブンプレミアム商品を抽選で20名様にプレゼント premium_life_7をフォローこの投稿をrtしてね 1214水2359,0.0,Neutral
255,rt ab_foods tinubu party apc mocked amp disrespect christiansasked nigerian youths shut stop asking better system,0.5,Positive
257,rt chanpre61346481 vaise hi hame bhi aapki ek dose chahiye hoti haiaap bht jyada important ho mere life mejaise ham aapke liye family,-0.04999999999999999,Negative
258,amazonからの発送しましたメールを見て何か買ったっけとあれか sound lifecdblurayメガジャケ付 か gダイ以外から買うのって珍しいからピンとこなかったわ,0.4,Positive
259,rt omfgwavy someone adds intentional value life doesnt take personal youre navigating grief social ba,-0.2555555555555556,Negative
261,rt cool_ustaz lets strive renew faith amp become best muslims process lets strive run towards goodness amp,1.0,Positive
262,rt crisblu1 good morning world happy new week white gives peace brings colors life like us h,0.40909090909090906,Positive
263,rt isdom_hq 15 hard truths psychology amp life 1,-0.2916666666666667,Negative
264,rt scamzel players often get chastised country traits vital internal believe system subsequen,0.05,Positive
265,rt _raregem_aa cry dead keep malice living envy successful avoid broke ones interestin,0.275,Positive
266,rt smanmalik83 poverty virtue amp nothing glorify allegations institutions amp people h,0.0,Neutral
267,rt david_perell write 90 minutes every morning publish regularly life dramatically improve people,0.0,Neutral
268,sabrannnn footballer would youve known personal life vk doesnt give sht abt u,0.0,Neutral
269,rt michellcclark spent whole life searching place felt like home life showed could create space,0.05,Positive
270,rt ava_thefree 비어트리스 보고싶어요 혼자 해낼 수 있을 거라 생각했는데 사실은 당신이 늘 필요했던 거죠 기다리고 있을게요 life next,0.0,Neutral
271,rt kellysmwika ukiachwa ongea mbaya bana hii maneno ya nice life achia prophets,0.6,Positive
274,spellbindinggms yeah tell 34 inches snow east london absolutely ridiculous,-0.3333333333333333,Negative
275,rt editieffiong running water 247 power drainage mass transit 310 town planning public recreation good roads,0.35,Positive
276,rt drz_art im mentally spent things life rn little progress things,-0.14375,Negative
277,rt aalondraa120 hes winning life im girl,0.5,Positive
278,rt _oopsprince 12월 24일 크리스마스 선물처럼 돌아올 아들 텀블벅에 lt어이쿠 왕자님gt 재발매 정보가 올라왔습니다 지금 알림 신청 하고 이벤트 참여하세요,0.0,Neutral
279,rt isahhere snowman good life simple sketch im little busy drawmillie briskart,0.15312499999999998,Positive
280,disruptivepoltx georgemonbiot markjlittlewood imminent collapse environmental ecological life sup,0.4,Positive
281,rt kyoruyeye currently thinking loid anya yor lost majority family early age theyve basically b,0.05,Positive
282,rt villian2120 know ill never see wont stop celebrating faraway influence life happy birthday,0.15000000000000002,Positive
283,rt defreshkitchen1 good morning tweeter family please im seeking help good hearts concerning boy buy maltrea,0.7,Positive
284,rt ungaldevaoffl happy birthday one million superstarrajini sir wishing long life prosperity amp best life,0.5833333333333334,Positive
285,rt bragosi túndéso changed iphone 6 xr talk say 2022 nah best year life,1.0,Positive
287,rt anshum1958 connecting people insta well post united personal life interested share,0.125,Positive
288,rt keke_raww sometimes tell people love ill love forever im longer interested level,0.1875,Positive
289,meeting life qq539962038,0.0,Neutral
290,dont wait things get better life always complicated learn happy right else youll run,0.27142857142857146,Positive
291,rt meenutulika06 never stopped missing 4 life today r missing even birthday youre,-0.2,Negative
292,slie_maboza lol life dusted real hard pouy totally nothing nomjolo know better im,0.215625,Positive
293,rt nme watch rm bts bring songs solo album indigo life art museum,0.0,Neutral
294,losing phone like losing life,0.0,Neutral
295,rt pathforwisdom 10 powerful lines movies psychology amp life 1,0.3,Positive
296,jun_buppan じゅんさんこんばんじゅんですね笑 午後もよろしくおねがいします,0.0,Neutral
297,tired life,-0.4,Negative
298,rt nitin_gadkari birthday greetings great indian actor honored dadasaheb phalke padma vibhushan awards shri rajinika,0.8,Positive
299,rt zylloina life update need money,0.0,Neutral
300,rt tatabucin sun additional show jakarta freebies inspired joshua hongs perfume chanel de blue always uses,0.0,Neutral
301,theothergordon jasonlambertsf life dependent winning argument id definitely choose,0.25,Positive
302,rt matttgfx small child gets traumatized life dismantles capitalism,-0.25,Negative
303,may life filled prayer rest gods presence may discover life purpose,0.4,Positive
304,rt spmaestro1 youll incarnate almighty realizing eternal amp everlasting essence omnipotence beginning amp end wh,0.0,Neutral
305,rt chika_jones went partying love life leju pa rerin,0.5,Positive
306,kirstie alley remembered church scientology beloved member champion drug rehabilitation clo,0.7,Positive
307,stepansergeant ну всьо тепер тіки пішки,0.0,Neutral
308,rt buitengebieden living best life,1.0,Positive
309,rt annetarvainen wwf urges countries remember came cop15 humanity wildlife face escalating biodiversity crisis th,0.0,Neutral
311,pero toro po talaga ako past life,-0.25,Negative
312,13年 tv life premium lt仲間gt 仲間とは気持ちの共有みたいなものじゃないですかね何かをやったときに感じることとか一緒に過ごす中で同じようなことを思ったり感じたりできる楽しさかなと,0.0,Neutral
313,rt satoru_191 遊んだ,0.0,Neutral
314,heavy enjoy life open mind,0.06666666666666667,Positive
315,rt mppchaudhary birthday greetings great indian actor honored dadasaheb phalke padma vibhushan awards shri rajinikant,0.8,Positive
317,nice little late night stream got 4 great games tft last lobby pulled tsm_souless hitting,0.18250000000000002,Positive
318,rt newyorker 1899 death 1962 photographer lora webb nichols created collected 24000 negatives document,0.0,Neutral
319,sabinus1_ amount small save life pls help soul account number 2270612936,-0.25,Negative
320,ilana_stern elonmusk davechapelle chrisrock lifes tough outside fanboy bubble,-0.19444444444444445,Negative
321,hawkersmx patanfeo erick_lara30 intrapiernoso karime_rosasm alexaaap ingenierodice_ life_beats landyfaby,0.0,Neutral
322,rt rajkarya9 said ws depressed feared lifewhy didnt break open door doctor called hurry take hos,0.0,Neutral
323,anietotylkoja shouldnt plug ears scream lalala healthcare usa whenever eu criticised,0.0,Neutral
324,rt nbforrest83 believe engaged great civil war cultural war thats hijack birthright think,0.45,Positive
325,rt buddyhield thank god life health strength,0.0,Neutral
326,rt mxxnquakes ถาเสยงเพลงหายไป โลกนคงไมนาอย สำหรบมนษยทหลงรกในเสยงดนตร เสพตดเสยงดนตร ใชเวลาเกนครงชวตไปกบการฟงเพล,0.0,Neutral
327,rt lita_menges 𝒲𝒽𝑒𝓃 𝐵𝒶𝒹 𝒟𝑜𝑒𝓈 𝒢𝑜𝑜𝒹 full credits swallow second life codex,0.175,Positive
328,rt shripadynaik warm birthday greetings great indian actor winner dadasaheb phalke padma vibhushan awards shri rajinikant,0.7,Positive
329,celtic_villan bridget got right priorities life,0.2857142857142857,Positive
331,presser brics people choosing life ways delhi russian deputy envoy present,0.0,Neutral
332,life last front back collision,0.0,Neutral
333,heavenly father hands place worries problems direction goals life ask yo,0.0,Neutral
334,rt emctear man living best life,1.0,Positive
335,sugar_tk_life 早寝早起き,0.0,Neutral
337,rt vahid_y1 23yearold majidrezarahnavard innocent protester executed bloodthirsty regime khamenei ir,0.0,Neutral
339,say youre going settle second thats happens life,0.0,Neutral
340,rt brenttoderian every winter fresh snow reveals much weve overdesigned streets amp roads cars making faster amp da,0.25,Positive
341,rt therankineffect day 165 365daysofrichard therankineffect richardrankin mackenziemonday clip courtesy angusangels mu,0.0,Neutral
342,高校生大学生はz9で初自作を済ませましょう,0.0,Neutral
343,rt rockzfx crazy realisation knowing need mobile phone internet mt4 1 pair patience discipline,-0.6,Negative
344,obaidullabaheer journalismpopal took refuge political islam hate afghan royalty pasht,-0.4,Negative
345,_mayowa_sam blessed4ever_10 blessedchristmasgiveaway cc blessed4ever_10 stranded life ijn,0.0,Neutral
346,bigprilol vvsdolly everyday life,-0.2,Negative
347,rt jameskylet hope next year happiest year life really deserve,0.1,Positive
